NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원)
10988,서울특별시 광진구 구의동,589-10,589,10,구의아크로리버,월세,33.81,202410,17,"1,000",90,3,2004,구의강변로 64,202412~202512,신규,-,,
10992,서울특별시 중랑구 상봉동,118-16,118,16,타임스카이,전세,29.13,202410,17,"26,000",0,12,2023,망우로 256,202411~202611,신규,-,,
10993,서울특별시 중랑구 상봉동,102-37,102,37,대성쉐르빌,전세,22.97,202410,17,"15,900",0,3,2017,면목로96길 10,202411~202611,신규,-,,
10996,서울특별시 종로구 숭인동,313-12,313,12,디세븐,월세,16.04,202410,17,500,63,12,2014,종로56길 20-8,202410~202510,신규,-,,
11013,서울특별시 은평구 녹번동,176-6,176,6,로하스 오피스텔,월세,28.32,202410,17,"3,000",41,4,2006,응암로 347,202411~202611,신규,-,,
11030,서울특별시 광진구 화양동,20-5,20,5,광진안틸리아,전세,31.46,202410,17,"30,000",0,6,2020,광나루로12길 7,202412~202612,신규,-,,
11042,서울특별시 금천구 독산동,332-25,332,25,명남 아크로타워 1,전세,28.8,202410,17,"25,500",0,3,2021,범안로11길 4,202411~202611,신규,-,,
11044,서울특별시 구로구 오류동,09-09,9,9,힐파빌리온,월세,18.63,202410,17,"3,200",32,4,2019,고척로4길 10,202410~202510,신규,-,,
11054,서울특별시 강서구 방화동,620-52,620,52,벤처오피스텔,월세,26.4,202410,17,500,45,5,2002,개화동로31길 16,202411~202511,신규,-,,
11093,서울특별시 금천구 가산동,142-59,142,59,리베라움,전세,38.13,202410,16,"24,800",0,3,2018,남부순환로108길 8,202411~202511,갱신,-,"23,620",0
11094,서울특별시 금천구 독산동,1006-183,1006,183,후암타운,월세,47.11,202410,16,"2,000",140,2,2023,범안로16길 24-10,202410~202610,신규,-,,
11101,서울특별시 영등포구 영등포동,618-22,618,22,(618-22),월세,24.19,202410,16,"1,000",60,2,1995,영신로 32,202410~202510,신규,-,,
