NO,시군구,도로명,위도,경도,bus_count
1026,서울특별시 영등포구 양평동5가,양평로 160,37.5400223525404,126.890456181584,2
1028,서울특별시 강동구 명일동,동남로 881,37.5522907599423,127.155772547373,3
1029,서울특별시 동대문구 제기동,왕산로 91,37.5785810211314,127.033692959568,2
1032,서울특별시 용산구 원효로1가,원효로81길 3,37.5391719754606,126.967362128725,8
1035,서울특별시 성북구 하월곡동,종암로32길 12,37.6041312435725,127.032810734053,4
1037,서울특별시 광진구 자양동,능동로 69,37.5378412310188,127.068994278343,4
1038,서울특별시 성북구 보문동2가,지봉로23길 8,37.5855972269797,127.018729364314,2
1041,서울특별시 중구 충무로3가,충무로 13,37.5622475805013,126.992632763392,0
1044,서울특별시 성북구 삼선동5가,보문로 171,37.5893088396646,127.015836273323,4
1048,서울특별시 중구 황학동,마장로 95,37.5686954441708,127.020538036869,0
1049,서울특별시 종로구 원남동,창경궁로 146,37.5755225163638,126.997699700133,2
1051,서울특별시 동대문구 답십리동,황물로 90,37.5703555036136,127.050124506884,0
1052,서울특별시 성동구 도선동,왕십리로 340,37.5633532102577,127.03240688004,3
